FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE
261532,MB-1987-8-3-6-87,MB, ,8-3-6-87, ,49.8508,-95.5543,1987,4,22,1987-04-22 00:00:00,,1987-04-23 00:00:00,0.4,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
74471,BC-1979-1979-K80039,BC, ,1979-K80039, ,50.742,-121.856,1979,8,7,1979-08-07 00:00:00,,,0.1,H,H,Fire, , , , , , ,2020-05-05 00:00:00
288858,QC-1982-3050,QC, ,1982-3050, ,46.69455,-71.90618,1982,5,23,1982-05-23 00:00:00,,1982-05-23 00:00:00,0.2,H,H, , ,Intensive, , , , ,2018-05-18 00:00:00
153252,BC-2015-2015-K10460,BC, ,2015-K10460, ,51.6929,-119.4457,2015,7,20,2015-07-20 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00
123245,BC-1999-1999-N10067,BC, ,1999-N10067, ,49.5533,-115.7333,1999,6,14,1999-06-14 00:00:00,,,0.7,H,H,Fire, , , , , , ,2020-05-05 00:00:00
105590,BC-1990-1990-V30183,BC, ,1990-V30183, ,49.679,-123.188,1990,10,3,1990-10-03 00:00:00,,,0.0,N,N,Fire, , , , , , ,2020-05-05 00:00:00
145489,BC-2010-2010-V50340,BC, ,2010-V50340, ,49.7793,-124.2825,2010,7,7,2010-07-07 00:00:00,,,0.05,H,H,Fire, , , , , , ,2020-05-05 00:00:00
84691,BC-1983-1983-K70035,BC, ,1983-K70035, ,50.155,-121.572,1983,7,21,1983-07-21 00:00:00,,,3.0,H,H,Fire, , , , , , ,2020-05-05 00:00:00
361219,NT-2014-SS005-14,NT, ,SS005-14, ,61.125833,-116.808666,2014,6,1,2014-06-01 00:00:00,,2014-10-03 00:00:00,5195.42,H,H, ,MOD,MOD-Limited Action, , , , ,2018-06-15 00:00:00
27726,BC-1960-1960-R00024,BC, ,1960-R00024, ,52.434,-126.231,1960,5,2,1960-05-02 00:00:00,,,0.1,H,H,Fire, , , , , , ,2020-05-05 00:00:00
186105,AB-1981-DL4-081-81,AB, ,DL4-081-81,DL4081,55.9097,-112.1155,1981,6,15,1981-06-15 00:00:00,,,0.0,N,N, , , , , , , ,2020-06-01 00:00:00
189372,AB-2006-MWF153,AB, ,MWF153, ,57.9576,-110.957167,2006,8,7,2006-08-07 00:00:00,,2006-08-07 00:00:00,0.01,H,H,Ground, , , ,fueltype:, , ,2020-06-01 00:00:00
